year,selling_price,km_driven,fuel,seller_type,transmission,owner,Car_Company,Model_Name
2012,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX
2016,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Xcent 1.2 Kappa S
2015,850000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Creta 1.6 VTVT S
2012,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX
2016,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Xcent 1.2 Kappa S
2015,850000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Creta 1.6 VTVT S
2019,1195000,5000,Diesel,Dealer,Manual,First Owner,Hyundai,Venue SX Opt Diesel
2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,i10 Magna 1.1L
2012,625000,40000,Diesel,Individual,Manual,First Owner,Hyundai,Elantra CRDi S
2009,150000,79000,Petrol,Individual,Manual,Third Owner,Hyundai,Santro Xing GLS
2019,500000,15000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Asta
2018,750000,29000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 Sportz 1.4 CRDi
2014,465000,70000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 2015-2017 Sportz Option 1.4 CRDi
2014,240000,73300,Petrol,Dealer,Manual,Second Owner,Hyundai,EON Magna Plus
2018,300000,31000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna Plus
2010,248000,63000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Sportz 1.2
2005,80000,120000,Petrol,Individual,Manual,Third Owner,Hyundai,Getz GLS
2015,450000,80000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 CRDi Sportz
2019,650000,25000,Diesel,Individual,Manual,First Owner,Hyundai,Elite i20 Diesel Era
2017,1025000,9000,Petrol,Dealer,Manual,First Owner,Hyundai,Creta 1.6 SX Option
2007,80000,58000,Petrol,Dealer,Manual,Second Owner,Hyundai,Santro Xing XO
2010,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Sonata CRDi M/T
2019,750000,15000,Petrol,Individual,Manual,First Owner,Hyundai,Elite i20 Sportz Plus Dual Tone BSIV
2016,780000,60000,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.4 CRDi S
2016,690000,80000,Petrol,Individual,Automatic,First Owner,Hyundai,Verna 1.6 VTVT AT S Option
2016,840000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,Creta 1.6 CRDi SX
2015,229999,40000,Petrol,Individual,Manual,First Owner,Hyundai,i10 Sportz 1.1L
2015,200000,70000,Petrol,Individual,Manual,First Owner,Hyundai,EON Era Plus
2003,75000,57000,Petrol,Individual,Manual,First Owner,Hyundai,Santro LP zipPlus
2013,280000,3240,Petrol,Individual,Manual,Second Owner,Hyundai,EON Era Plus
2015,540000,5000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Magna 1.2
2018,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai,i20 1.2 Asta
2016,430000,80000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta 1.4 CRDi
2002,65000,70000,Petrol,Individual,Manual,First Owner,Hyundai,Santro LE
2007,75000,114000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XL eRLX Euro III
2008,210000,53772,Petrol,Individual,Manual,First Owner,Hyundai,Getz 1.3 GLS
2012,170000,60000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna Plus
2011,350000,50000,Petrol,Individual,Automatic,Second Owner,Hyundai,i10 Asta AT
2006,70000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,Santro Xing XG
2016,600000,25000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Magna 1.2
2009,280000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 Asta
2012,280000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,i20 1.2 Sportz
2014,265000,55000,Petrol,Dealer,Manual,First Owner,Hyundai,EON Era Plus Option
2012,385000,58000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 Magna 1.4 CRDi (Diesel)
2012,235000,54000,Petrol,Dealer,Manual,First Owner,Hyundai,EON Era Plus
2008,120000,90000,Petrol,Individual,Manual,Second Owner,Hyundai,Verna i (Petrol)
2017,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Active 1.2 SX
2015,390000,90000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 Magna
2011,175000,139000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Era
