year,selling_price,km_driven,fuel,seller_type,transmission,owner,Car_Company,Model_Name
2007,60000,70000,Petrol,Individual,Manual,First Owner,Maruti,800 AC
2007,135000,50000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI Minor
2007,140000,125000,Petrol,Individual,Manual,First Owner,Maruti,Alto LX BSIII
2017,365000,78000,CNG,Individual,Manual,First Owner,Maruti,Celerio Green VXI
2007,60000,70000,Petrol,Individual,Manual,First Owner,Maruti,800 AC
2007,135000,50000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI Minor
2007,140000,125000,Petrol,Individual,Manual,First Owner,Maruti,Alto LX BSIII
2017,365000,78000,CNG,Individual,Manual,First Owner,Maruti,Celerio Green VXI
2015,585000,24000,Petrol,Dealer,Manual,First Owner,Maruti,Ciaz VXi Plus
2018,975000,4500,Diesel,Dealer,Automatic,First Owner,Maruti,Vitara Brezza ZDi Plus AMT
2014,290000,64000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS IV with ABS
2012,275000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS IV
2006,100000,80000,Petrol,Individual,Manual,First Owner,Maruti,Alto LXi
2017,725000,18500,Diesel,Dealer,Manual,First Owner,Maruti,Swift Dzire VDI Optional
2018,401000,10200,Petrol,Dealer,Manual,First Owner,Maruti,Eeco 5 Seater AC BSIV
2018,310000,28000,Petrol,Dealer,Manual,First Owner,Maruti,Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER
2016,665000,46000,Diesel,Dealer,Manual,First Owner,Maruti,Swift ZDi BSIV
2012,160000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi
2013,300000,80000,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R VXI BS IV
2009,151000,66764,Petrol,Dealer,Manual,Second Owner,Maruti,Alto LXi
2009,140000,100000,Petrol,Individual,Manual,First Owner,Maruti,Alto LXi
2006,130000,110000,Petrol,Individual,Manual,Third Owner,Maruti,Swift 1.3 VXi
2018,750000,60000,Diesel,Individual,Manual,First Owner,Maruti,Ciaz 1.3 Delta
2008,175000,29173,Petrol,Dealer,Manual,First Owner,Maruti,SX4 Zxi BSIII
2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Wagon R LXI Minor
2011,250000,110000,Petrol,Individual,Manual,Third Owner,Maruti,SX4 ZXI MT BSIV
2014,434000,79350,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire VDI
2007,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIII
2014,500000,120000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga VDI
2004,95000,50000,Petrol,Individual,Manual,First Owner,Maruti,Zen LX
2018,550000,20000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Delta 1.2
2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,Swift Vdi BSIII
2016,800000,70000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga SHVS VDI
1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,800 Std
2005,100000,30000,Petrol,Individual,Manual,First Owner,Maruti,800 AC BSIII
2015,525000,100000,Diesel,Individual,Manual,First Owner,Maruti,Ciaz VDi Plus
2018,800000,35000,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza VDi
2014,210000,90000,LPG,Individual,Manual,First Owner,Maruti,Wagon R DUO LPG
2020,240000,120000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI
2017,550000,60000,Petrol,Individual,Manual,First Owner,Maruti,Swift VVT ZXI
2015,400000,100000,Diesel,Individual,Manual,Third Owner,Maruti,Swift VDI BSIV
2012,175000,80000,Petrol,Individual,Manual,Third Owner,Maruti,Alto LXi
2019,810000,15000,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire ZXI Plus
2007,95000,100000,Petrol,Individual,Manual,Second Owner,Maruti,800 AC
2020,282000,40000,CNG,Individual,Manual,First Owner,Maruti,Alto K10 LXI CNG
2004,80000,60000,Petrol,Individual,Manual,Second Owner,Maruti,800 Std BSII
2018,380000,22155,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI
2018,650000,70000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz 1.4 Delta
2009,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX
2003,75000,100000,Diesel,Individual,Manual,Second Owner,Maruti,Zen D
2017,390000,24000,Petrol,Individual,Manual,First Owner,Maruti,Eeco 7 Seater Standard BSIV
2007,175000,78380,Petrol,Individual,Manual,First Owner,Maruti,SX4 Zxi with Leather BSIII
2009,250000,150000,Diesel,Individual,Manual,Third Owner,Maruti,Swift Dzire VDi
2006,140000,70000,Petrol,Individual,Manual,Third Owner,Maruti,Esteem Vxi - BSIII
2017,600000,80362,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI BSIV
