year,selling_price,km_driven,fuel,seller_type,transmission,owner,Car_Company,Model_Name
2014,240000,60000,Petrol,Individual,Manual,Second Owner,Tata,Indigo Grand Petrol
2014,250000,100000,Petrol,Individual,Manual,First Owner,Tata,Indigo Grand Petrol
2014,240000,60000,Petrol,Individual,Manual,Second Owner,Tata,Indigo Grand Petrol
2014,250000,100000,Petrol,Individual,Manual,First Owner,Tata,Indigo Grand Petrol
2018,525000,15000,Petrol,Individual,Manual,First Owner,Tata,Tigor 1.2 Revotron XT
2005,70000,80000,Diesel,Individual,Manual,First Owner,Tata,Indica DLS
2007,100000,39000,Diesel,Individual,Manual,First Owner,Tata,Indigo Classic Dicor
2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,Tata,Indica Vista Quadrajet LS
2012,100000,50000,Petrol,Individual,Manual,Second Owner,Tata,Nano Lx BSIV
2010,125000,81000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Aqua 1.4 TDI
2011,120000,70000,Diesel,Individual,Manual,First Owner,Tata,Indica Vista Aqua TDI BSIII
2016,250000,120000,Diesel,Individual,Manual,First Owner,Tata,Bolt Quadrajet XE
2011,150000,155500,Diesel,Individual,Manual,First Owner,Tata,Indigo CR4
2013,72000,25000,Petrol,Individual,Manual,First Owner,Tata,Nano LX SE
2018,430000,30000,Petrol,Individual,Manual,First Owner,Tata,Nexon 1.2 Revotron XM
2009,90000,120000,Diesel,Dealer,Manual,First Owner,Tata,Indica V2 2001-2011 DLS BSIII
2011,120000,120000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista TDI LS
2015,300000,140000,Diesel,Dealer,Manual,First Owner,Tata,Zest Quadrajet 1.3 75PS XE
2006,115999,100000,Diesel,Individual,Manual,Second Owner,Tata,Sumo GX TC 7 Str BSIII
2002,100000,120000,Diesel,Individual,Manual,First Owner,Tata,Sumo SE Plus BSIII
2018,360000,4000,Petrol,Individual,Manual,First Owner,Tata,Tiago 1.2 Revotron XZ
2019,425000,19600,Petrol,Individual,Manual,First Owner,Tata,Tiago 1.2 Revotron XZ
2003,50000,120000,Diesel,Individual,Manual,Second Owner,Tata,Indica DLX
2002,125000,40000,Petrol,Individual,Manual,First Owner,Tata,Indica LSI
2013,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner,Tata,Nano STD
2014,185000,72000,CNG,Dealer,Manual,First Owner,Tata,Indigo CS Emax CNG GLX
2015,400000,100000,Diesel,Individual,Manual,First Owner,Tata,Zest Quadrajet 1.3 XM
2011,260000,97000,Diesel,Individual,Manual,Second Owner,Tata,Manza Aura Quadrajet BS IV
2019,350000,15000,Petrol,Individual,Automatic,Second Owner,Tata,Tiago 1.2 Revotron XZA
2016,1000000,70000,Diesel,Individual,Manual,First Owner,Tata,Safari Storme VX
2010,250000,120000,Diesel,Individual,Manual,Second Owner,Tata,New Safari DICOR 2.2 EX 4x2
2019,575000,8000,Petrol,Individual,Manual,First Owner,Tata,Tiago NRG Petrol
2011,75000,15000,Petrol,Individual,Manual,First Owner,Tata,Nano Lx
2011,220000,80000,Diesel,Individual,Manual,First Owner,Tata,Indigo LS Dicor
2009,150000,164000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Terra 1.4 TDI
2019,550000,10000,Petrol,Individual,Manual,First Owner,Tata,Tiago NRG Petrol
2015,380000,17152,Petrol,Individual,Manual,First Owner,Tata,Zest Revotron 1.2 XT
2011,133000,80000,Diesel,Individual,Manual,First Owner,Tata,Indica Vista Quadrajet LX
