year,selling_price,km_driven,fuel,seller_type,transmission,owner,Car_Company,Model_Name
2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,Toyota,Corolla Altis 1.8 VL CVT
2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,Toyota,Corolla Altis 1.8 VL CVT
2016,900000,50000,Petrol,Individual,Automatic,First Owner,Toyota,Corolla Altis G AT
2015,1300000,80000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 7 Seater
2014,525000,92000,Diesel,Dealer,Manual,First Owner,Toyota,Etios GD
2011,350000,230000,Diesel,Individual,Manual,First Owner,Toyota,Corolla Altis Diesel D4DG
2009,500000,120000,Diesel,Individual,Manual,Third Owner,Toyota,Innova 2.5 V Diesel 8-seater
2012,500000,100000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 GX (Diesel) 8 Seater
2011,1075000,160000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 V Diesel 7-seater
2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV
2014,1050000,70000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 VX (Diesel) 8 Seater
2013,229999,50000,Petrol,Individual,Manual,Second Owner,Toyota,Etios Liva G
2016,1800000,141440,Diesel,Dealer,Manual,First Owner,Toyota,Innova Crysta 2.4 VX MT
2012,300000,50000,Diesel,Individual,Manual,Second Owner,Toyota,Etios Liva GD
2011,450000,200000,Diesel,Individual,Manual,Third Owner,Toyota,Innova 2.5 G (Diesel) 8 Seater BS IV
2014,1000000,110000,Diesel,Individual,Manual,First Owner,Toyota,Fortuner 4x4 MT
2015,1400000,120000,Diesel,Individual,Manual,First Owner,Toyota,Fortuner 4x4 MT
2015,1125000,65000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 7 Seater
2011,450000,100000,Diesel,Individual,Manual,Second Owner,Toyota,Etios VD
2013,350000,75000,Diesel,Dealer,Manual,First Owner,Toyota,Etios GD SP
2017,2750000,41000,Diesel,Individual,Automatic,First Owner,Toyota,Fortuner 2.8 4WD AT BSIV
2013,925000,75000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 VX (Diesel) 8 Seater
